Rate/Site	Rate=0.000822715	Rate=0.00623661	Rate=0.0179363	Rate=0.0368065	Rate=0.0641096	Rate=0.101846	Rate=0.153439	Rate=0.225477	Rate=0.333764	Rate=0.555977
1	0.193494	0.185257	0.168642	0.144941	0.116447	0.0860886	0.0570137	0.0321257	0.013616	0.00237446
2	0.232579	0.216859	0.18647	0.146282	0.103133	0.0638302	0.0333289	0.0136133	0.00363724	0.000267306
3	0.187675	0.180309	0.165368	0.143844	0.117582	0.089018	0.0608837	0.0358652	0.0162316	0.00322355
4	0.14802	0.145167	0.13919	0.130065	0.117913	0.102968	0.085559	0.0660723	0.0448158	0.0202296
5	0.256698	0.234892	0.19396	0.142581	0.0915641	0.0498804	0.0219351	0.00708846	0.00134903	5.20557e-05
6	0.19916	0.190033	0.171719	0.145839	0.115163	0.0831248	0.0532697	0.0286604	0.0113246	0.00170591
7	0.00878602	0.0604931	0.141365	0.207771	0.223784	0.183756	0.113244	0.0485554	0.0117036	0.000541439
8	0.254467	0.233285	0.193406	0.143083	0.0927201	0.051126	0.0228423	0.00753642	0.0014751	5.95722e-05
9	0.221956	0.208555	0.182328	0.146878	0.107554	0.0700848	0.0392003	0.0175717	0.00536497	0.000507318
10	1.43014e-05	0.000791525	0.00603689	0.0223098	0.0560616	0.109153	0.174091	0.230513	0.24407	0.156959
11	0.233649	0.217699	0.186896	0.14623	0.102688	0.0631907	0.0327247	0.0132083	0.0034662	0.000246736
12	0.00770651	0.0535402	0.127574	0.193477	0.218067	0.190659	0.128028	0.0618871	0.0178647	0.00119648
13	0.00462887	0.0331061	0.0839795	0.140821	0.183353	0.195271	0.171035	0.118868	0.0581831	0.0107539
14	0.25514	0.233765	0.193563	0.142921	0.092366	0.050754	0.022579	0.00741166	0.00144244	5.80032e-05
15	0.205091	0.194908	0.174619	0.1463	0.113342	0.0797701	0.0494901	0.0255554	0.00958172	0.00134309
16	0.255244	0.233832	0.193571	0.142878	0.0923023	0.0507028	0.0225554	0.00740936	0.001446	5.88239e-05
17	1.71482e-05	0.000944646	0.00713291	0.0259454	0.0637579	0.120509	0.184961	0.233034	0.23082	0.132878
18	0.254435	0.233263	0.193399	0.143092	0.0927372	0.051143	0.0228536	0.0075412	0.0014761	5.95816e-05
19	0.00760433	0.0528768	0.126233	0.192029	0.217391	0.191224	0.12947	0.0633006	0.0185835	0.00128723
20	0.00476635	0.0340403	0.0860817	0.143631	0.185685	0.195851	0.169337	0.115649	0.0552121	0.00974717
21	0.00518481	0.036868	0.092364	0.151829	0.192154	0.196929	0.163892	0.106336	0.0471879	0.00725617
22	0.00496424	0.0353828	0.0890917	0.147626	0.188955	0.196589	0.166854	0.111082	0.0510788	0.00837611
23	0.00461509	0.0330169	0.0838023	0.140646	0.183325	0.19547	0.17137	0.119099	0.0581143	0.0105411
24	0.25432	0.233181	0.193373	0.14312	0.0927985	0.0512067	0.022898	0.00756173	0.00148118	5.97682e-05
25	2.4772e-05	0.00135274	0.010023	0.0353625	0.0831482	0.147874	0.208905	0.234713	0.19651	0.0820874
26	0.00754648	0.0525021	0.12548	0.191226	0.217033	0.191563	0.130282	0.064074	0.0189623	0.00133106
27	0.00695497	0.0486495	0.117631	0.182613	0.212784	0.194596	0.138705	0.0726327	0.0234901	0.0019435
28	1.00807e-05	0.000561407	0.00434001	0.016395	0.0425458	0.08667	0.147255	0.213525	0.260553	0.228144
29	1.70736e-05	0.000940123	0.00709229	0.0257632	0.0632075	0.119278	0.182913	0.23082	0.230737	0.139232
30	0.00603337	0.0425581	0.104781	0.167476	0.203529	0.197225	0.15208	0.0887772	0.0337094	0.00383098
31	3.31664e-05	0.00179748	0.0131021	0.0450202	0.101878	0.171812	0.225628	0.228681	0.163475	0.0485726
32	0.207543	0.196902	0.175762	0.146412	0.112521	0.0783604	0.0479693	0.0243608	0.00894723	0.00122187
33	0.254543	0.233338	0.193421	0.143062	0.092679	0.0510851	0.0228152	0.00752486	0.00147268	5.95494e-05
34	0.00763983	0.0531084	0.126707	0.192553	0.217657	0.191052	0.128964	0.0627756	0.0182979	0.00124609
35	0.00294243	0.0214431	0.0566401	0.101359	0.144922	0.175487	0.182851	0.161325	0.112042	0.0409886
36	0.254694	0.233445	0.193454	0.143022	0.0925978	0.0510024	0.0227588	0.00749972	0.00146684	5.93908e-05
37	0.254751	0.233486	0.193469	0.143011	0.0925688	0.0509701	0.0227346	0.00748725	0.00146318	5.91646e-05
38	1.2378e-07	5.09876e-05	0.00107499	0.00764984	0.0305542	0.0833591	0.169035	0.260442	0.2897	0.158134
