######################################

>Done in 344 seconds 

-1789.83128856014

------------------------------------------------

dN/dS = 0.1038 (sample variance = 0.0250914)

Rate[1]=  0.00000706 (weight=0.1000000)
Rate[2]=  0.00022313 (weight=0.1000000)
Rate[3]=  0.00153828 (weight=0.1000000)
Rate[4]=  0.00576405 (weight=0.1000000)
Rate[5]=  0.01575294 (weight=0.1000000)
Rate[6]=  0.03571836 (weight=0.1000000)
Rate[7]=  0.07208963 (weight=0.1000000)
Rate[8]=  0.13588672 (weight=0.1000000)
Rate[9]=  0.25097762 (weight=0.1000000)
Rate[10]=  0.52004602 (weight=0.1000000)

------------------------------------------------

 No rate classes with dN/dS>1.

------------------------------------------------

Tabulated Posteriors for Each Site
Sites in Columns, Rate Classes in Rows
Import the following part into a data processing program
for further analysis


Rate/Site	Rate=7.06475e-06	Rate=0.000223129	Rate=0.00153828	Rate=0.00576405	Rate=0.0157529	Rate=0.0357184	Rate=0.0720896	Rate=0.135887	Rate=0.250978	Rate=0.520046
1	0.147733	0.1475	0.146091	0.141658	0.131716	0.113925	0.0875651	0.055393	0.0245372	0.00388208
2	5.04035e-05	0.00158845	0.0108067	0.0388051	0.0959075	0.177956	0.249704	0.250136	0.150323	0.0247214
3	0.141156	0.140978	0.139902	0.136499	0.128786	0.114675	0.0928835	0.0643134	0.0333626	0.00744417
4	0.157696	0.15736	0.155327	0.148973	0.134988	0.110908	0.0776884	0.0418625	0.0139987	0.00119872
5	0.128883	0.128783	0.128176	0.126247	0.121804	0.113397	0.0995796	0.0793696	0.0528996	0.020861
6	3.454e-09	3.43759e-06	0.000161139	0.00216416	0.0145549	0.0607177	0.169413	0.312203	0.3336	0.107183
7	1.00246e-09	9.98824e-07	4.71436e-05	0.000647297	0.00458615	0.0212212	0.0713989	0.18177	0.342078	0.378251
8	0.158828	0.158478	0.156363	0.14976	0.135259	0.110414	0.0764456	0.0403757	0.0130401	0.00103684
9	4.86356e-05	0.00153283	0.0104319	0.037502	0.0929394	0.173415	0.245944	0.251421	0.157516	0.0292497
10	0.145162	0.144953	0.143683	0.139682	0.130667	0.11438	0.0898183	0.0589203	0.0277579	0.00497609
11	1.5036e-09	1.49767e-06	7.0553e-05	0.000962751	0.00672253	0.0302183	0.0964861	0.22441	0.360369	0.280759
12	2.97679e-05	0.000938943	0.00642179	0.0234548	0.0603396	0.121261	0.196567	0.252775	0.235779	0.102432
13	2.79747e-05	0.000882451	0.00603833	0.0220884	0.0570331	0.115458	0.189673	0.249675	0.242879	0.116244
14	0.157864	0.157525	0.15548	0.14909	0.135027	0.110833	0.0775027	0.0416427	0.0138594	0.00117637
15	6.53657e-15	2.05909e-10	6.74188e-08	3.53773e-06	7.16932e-05	0.000820307	0.00644069	0.0386511	0.187559	0.766454
16	0.157621	0.157286	0.155258	0.148922	0.13497	0.110941	0.0777714	0.0419608	0.0140609	0.00120862
17	4.27996e-05	0.00134923	0.00919653	0.0332236	0.0832914	0.158988	0.234785	0.25687	0.180266	0.0419877
18	2.82278e-10	2.81472e-07	1.33478e-05	0.00018606	0.00136614	0.00678811	0.0259933	0.0829368	0.233628	0.649088
19	1.48747e-09	1.48164e-06	6.98062e-05	0.000952928	0.00665986	0.0299871	0.0960125	0.22418	0.361487	0.280649
20	0.151433	0.151166	0.149547	0.144466	0.13314	0.113133	0.0841886	0.0503162	0.020112	0.00249821
21	0.139797	0.139629	0.138613	0.135398	0.128098	0.114687	0.0938207	0.0661003	0.0353745	0.00848298
22	0.157621	0.157286	0.155258	0.148922	0.13497	0.110941	0.0777714	0.0419608	0.0140609	0.00120862
23	0.157767	0.15743	0.155391	0.149022	0.135004	0.110876	0.0776101	0.0417698	0.01394	0.00118946
24	7.42093e-10	7.39561e-07	3.49521e-05	0.000481912	0.00344819	0.0162714	0.0567166	0.153478	0.32137	0.448198
25	0.157756	0.157419	0.155381	0.149014	0.135001	0.11088	0.0776218	0.041785	0.0139509	0.0011916
26	0.158157	0.157814	0.155747	0.149288	0.135086	0.110688	0.077169	0.0412654	0.0136376	0.00114768
27	0.138995	0.138832	0.137849	0.134737	0.127663	0.114643	0.0943097	0.0671182	0.0366156	0.00923872
28	6.56572e-24	2.0609e-16	3.18613e-12	2.29883e-09	3.31547e-07	1.77864e-05	0.000487311	0.00818066	0.0946751	0.896639
29	0.150717	0.150457	0.148881	0.143931	0.132884	0.113317	0.0848696	0.0512935	0.0209192	0.00272944
30	1.34683e-09	1.34165e-06	6.32412e-05	0.000864644	0.00606496	0.0275078	0.0892425	0.213198	0.35805	0.305008
31	1.22931e-09	1.22467e-06	5.77524e-05	0.000790708	0.00556472	0.0254059	0.0834137	0.203443	0.354362	0.326961
32	0.14084	0.140664	0.1396	0.136237	0.128613	0.114654	0.093073	0.0647152	0.0338584	0.00774502
33	1.84733e-05	0.000583003	0.00400049	0.0147663	0.038946	0.0822566	0.145931	0.219614	0.271115	0.222769
34	0.157916	0.157576	0.155527	0.149124	0.135037	0.110807	0.0774434	0.0415764	0.0138212	0.00117183
35	0.158017	0.157676	0.155619	0.149192	0.135054	0.110752	0.0773246	0.041448	0.0137519	0.00116565
36	1.94846e-18	1.935e-12	4.31933e-09	8.19532e-07	4.17671e-05	0.000921676	0.0110183	0.0784887	0.328349	0.58118
37	2.80743e-05	0.00088559	0.00605969	0.0221651	0.057222	0.115803	0.190119	0.249961	0.242546	0.115211
38	0.157782	0.157444	0.155405	0.149032	0.135006	0.110868	0.0775929	0.0417514	0.0139303	0.00118858
39	4.90278e-05	0.00154517	0.0105154	0.0377952	0.0936239	0.17452	0.246998	0.251354	0.155757	0.027842
40	0.138985	0.138823	0.137841	0.134733	0.127668	0.114661	0.0943414	0.0671487	0.0366142	0.00918276
41	0.139675	0.139508	0.138501	0.135312	0.128067	0.114743	0.0939725	0.0662964	0.0354931	0.00843298
42	0.157621	0.157286	0.155258	0.148922	0.13497	0.110941	0.0777714	0.0419608	0.0140609	0.00120862
43	0.159345	0.158988	0.156832	0.150105	0.13535	0.11014	0.0758441	0.039721	0.012678	0.000997684
44	2.86604e-05	0.000904058	0.00618517	0.0226137	0.0583168	0.117759	0.192541	0.251268	0.240365	0.110018
45	0.157621	0.157286	0.155258	0.148922	0.13497	0.110941	0.0777714	0.0419608	0.0140609	0.00120862
46	0.157621	0.157286	0.155258	0.148922	0.13497	0.110941	0.0777714	0.0419608	0.0140609	0.00120862
47	0.125549	0.125465	0.124957	0.123338	0.119599	0.112474	0.10061	0.0828474	0.0585905	0.0265691
48	1.51196e-05	0.000477249	0.00327844	0.0121441	0.0322996	0.0693706	0.126876	0.201394	0.273606	0.280538
49	0.145581	0.145368	0.144076	0.140006	0.130843	0.114314	0.0894587	0.0583457	0.0272213	0.00478692
50	2.28914e-10	2.28287e-07	1.08337e-05	0.000151369	0.00111759	0.0056144	0.0219277	0.0723767	0.216245	0.682556
51	3.25627e-05	0.00102697	0.00701834	0.0255696	0.0653943	0.129892	0.206176	0.255733	0.224062	0.0850953
52	4.39363e-05	0.001385	0.00943772	0.0340646	0.0852212	0.161997	0.237443	0.256408	0.175663	0.0383361
53	0.142054	0.141869	0.140752	0.137223	0.129233	0.114653	0.0922477	0.0631245	0.0320496	0.00679402
